Model,Label,Value,Phase,Min,Max,Init,Gradient,Pr_type,Prior,Pr_SD,Pr_Like,LCI95,UCI95
23.model.recdevs_bias,LnQ_base_NWFSCslope(8),-0.724328,-1,-5,5,-1,NA,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,LnQ_base_NWFSCcombo(9),-1.83039,-1,-5,5,-5,NA,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_peak_Trawl_N(1),29.7366,1,10,60,30,-4.25862e-5,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_top_logit_Trawl_N(1),-0.107406,3,-7,7,0,1.08632e-5,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_ascend_se_Trawl_N(1),4.67395,3,-5,10,3,1.69303e-4,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_descend_se_Trawl_N(1),5.0204,4,-5,10,5,1.76665e-6,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_start_logit_Trawl_N(1),-999,-99,-999,15,-999,NA,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_end_logit_Trawl_N(1),-999,-99,-999,15,-999,NA,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Retain_L_infl_Trawl_N(1),29.1904,3,5,70,23,-9.59211e-5,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Retain_L_width_Trawl_N(1),2.56216,3,0.1,40,2,-1.20521e-4,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Retain_L_asymptote_logit_Trawl_N(1),3.27008,3,-10,10,2.19722,5.39291e-5,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Retain_L_maleoffset_Trawl_N(1),0,-4,-3,3,0,NA,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_peak_Trawl_S(2),31.7238,1,10,60,30,1.6052e-5,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_top_logit_Trawl_S(2),-0.149828,3,-7,7,0,1.12506e-5,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_ascend_se_Trawl_S(2),4.72518,3,-5,10,3,3.08772e-5,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_descend_se_Trawl_S(2),4.78439,4,-5,10,5,4.20224e-6,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_start_logit_Trawl_S(2),-999,-99,-999,15,-999,NA,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_end_logit_Trawl_S(2),-999,-99,-999,15,-999,NA,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Retain_L_infl_Trawl_S(2),24.9754,3,5,70,23,-1.52403e-4,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Retain_L_width_Trawl_S(2),2.03167,3,0.1,40,2,-2.63746e-5,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Retain_L_asymptote_logit_Trawl_S(2),4.74563,3,-10,10,2.19722,2.92926e-5,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Retain_L_maleoffset_Trawl_S(2),0,-4,-3,3,0,NA,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_peak_Non-trawl_N(3),45.1719,2,10,60,30,-1.05457e-5,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_top_logit_Non-trawl_N(3),-1.83909,3,-7,7,0,-5.08738e-6,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_ascend_se_Non-trawl_N(3),4.71385,3,-5,10,3,2.59264e-5,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_descend_se_Non-trawl_N(3),5.43633,4,-5,10,5,-5.39033e-6,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_start_logit_Non-trawl_N(3),-999,-99,-999,15,-999,NA,No_prior,NA,NA,NA,NA,NA
