Model,Label,Value,Phase,Min,Max,Init,Gradient,Pr_type,Prior,Pr_SD,Pr_Like,LCI95,UCI95
23.model.francis_2,Main_RecrDev_1997,-0.14778,6,-5,5,0,4.77252e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Main_RecrDev_1998,-0.0406749,6,-5,5,0,4.96713e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Main_RecrDev_1999,0.179845,6,-5,5,0,7.11247e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Main_RecrDev_2000,0.386992,6,-5,5,0,1.21204e-5,dev,NA,NA,NA,NA,NA
23.model.francis_2,Main_RecrDev_2001,0.163482,6,-5,5,0,3.48674e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Main_RecrDev_2002,0.158084,6,-5,5,0,1.83771e-5,dev,NA,NA,NA,NA,NA
23.model.francis_2,Main_RecrDev_2003,0.797924,6,-5,5,0,2.41289e-5,dev,NA,NA,NA,NA,NA
23.model.francis_2,Main_RecrDev_2004,0.190405,6,-5,5,0,5.44718e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Main_RecrDev_2005,0.083016,6,-5,5,0,6.49087e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Main_RecrDev_2006,-0.096036,6,-5,5,0,6.71586e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Main_RecrDev_2007,1.58742,6,-5,5,0,-2.14155e-5,dev,NA,NA,NA,NA,NA
23.model.francis_2,Main_RecrDev_2008,0.213707,6,-5,5,0,-1.15043e-5,dev,NA,NA,NA,NA,NA
23.model.francis_2,Main_RecrDev_2009,0.329418,6,-5,5,0,-3.69847e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Main_RecrDev_2010,0.198659,6,-5,5,0,-7.44948e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Main_RecrDev_2011,-0.0894558,6,-5,5,0,-8.80016e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Main_RecrDev_2012,-0.227891,6,-5,5,0,-8.39518e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Main_RecrDev_2013,-0.421525,6,-5,5,0,-3.4682e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Main_RecrDev_2014,-0.626826,6,-5,5,0,-3.72793e-7,dev,NA,NA,NA,NA,NA
23.model.francis_2,Main_RecrDev_2015,-0.590069,6,-5,5,0,-4.06605e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Main_RecrDev_2016,-0.498596,6,-5,5,0,1.97716e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Main_RecrDev_2017,-0.545161,6,-5,5,0,-3.38487e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Main_RecrDev_2018,-0.675001,6,-5,5,0,-2.46543e-8,dev,NA,NA,NA,NA,NA
23.model.francis_2,Late_RecrDev_2019,-0.203721,5,-5,5,0,-1.15651e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Late_RecrDev_2020,-0.0622922,5,-5,5,0,-5.38159e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Late_RecrDev_2021,0.0255429,5,-5,5,0,1.18707e-5,dev,NA,NA,NA,NA,NA
23.model.francis_2,Late_RecrDev_2022,0.00543094,5,-5,5,0,1.33207e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,ForeRecr_2023,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.model.francis_2,ForeRecr_2024,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.model.francis_2,ForeRecr_2025,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.model.francis_2,ForeRecr_2026,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.model.francis_2,ForeRecr_2027,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.model.francis_2,ForeRecr_2028,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.model.francis_2,ForeRecr_2029,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.model.francis_2,ForeRecr_2030,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.model.francis_2,ForeRecr_2031,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.model.francis_2,ForeRecr_2032,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.model.francis_2,ForeRecr_2033,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.model.francis_2,ForeRecr_2034,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.model.francis_2,LnQ_base_Triennial1(4),-0.354591,-1,-5,5,-1.17642,NA,No_prior,NA,NA,NA,NA,NA
23.model.francis_2,Q_extraSD_Triennial1(4),0.0821836,4,0.01,0.5,0.05,-8.19896e-8,No_prior,NA,NA,NA,NA,NA
23.model.francis_2,LnQ_base_NWFSCcombo(6),0.345615,-1,-5,5,-0.840803,NA,No_prior,NA,NA,NA,NA,NA
23.model.francis_2,Size_DblN_peak_Trawl_N(1),29.3714,1,10,60,30,8.7578e-5,No_prior,NA,NA,NA,NA,NA
23.model.francis_2,Size_DblN_top_logit_Trawl_N(1),-15,-3,-16,16,-15,NA,No_prior,NA,NA,NA,NA,NA
23.model.francis_2,Size_DblN_ascend_se_Trawl_N(1),4.74081,3,-5,10,3,-9.18643e-5,No_prior,NA,NA,NA,NA,NA
23.model.francis_2,Size_DblN_descend_se_Trawl_N(1),6.79816,4,-5,10,7,6.10774e-5,No_prior,NA,NA,NA,NA,NA
23.model.francis_2,Size_DblN_start_logit_Trawl_N(1),-999,-99,-999,15,-999,NA,No_prior,NA,NA,NA,NA,NA
