year,season,fleet,catch,catch_se
2001,1,4,45.32271899668706,0.01
2002,1,4,103.87269740296867,0.01
2003,1,4,155.77598594175726,0.01
2004,1,4,128.9863601190847,0.01
2005,1,4,138.95809485979058,0.01
2006,1,4,143.70548615708208,0.01
2007,1,4,142.44459126523884,0.01
2008,1,4,177.11620221423655,0.01
2009,1,4,171.9589890264303,0.01
2010,1,4,205.20736296582135,0.01
2011,1,4,236.25105830584283,0.01
2012,1,4,155.42623577000222,0.01
2013,1,4,147.08718265804603,0.01
2014,1,4,127.52206205250675,0.01
2015,1,4,112.02428708637672,0.01
2016,1,4,142.2337820442938,0.01
2017,1,4,184.77,0.01
2018,1,4,151.1971944059977,0.01
2019,1,4,114.17648885413324,0.01
2020,1,4,74.86192306690566,0.01
2021,1,4,64.87149324449913,0.01
2022,1,4,55.20488853552632,0.01
2023,1,4,0.46674654912140917,0.01
