year,state_gear,prop_sspn,interp_prop_sspn
2011,WA_Non-trawl,0.9762533702624131,0.9762533702624131
2012,WA_Trawl,0.6353587115353123,0.6353587115353123
2012,CA_Non-trawl,0.9119999284491834,0.9119999284491834
2012,CA_Trawl,0.3557325026121973,0.3557325026121973
2012,OR_Trawl,0.5239962042586236,0.5239962042586236
2012,OR_Non-trawl,0.9704513600120674,0.9704513600120674
2012,WA_Non-trawl,0.9968746291653172,0.9968746291653172
2013,WA_Trawl,0.563070508682741,0.563070508682741
2013,CA_Non-trawl,0.8906361154684737,0.8906361154684737
2013,CA_Trawl,0.3223580842318456,0.3223580842318456
2013,OR_Trawl,0.5723287206984352,0.5723287206984352
2013,OR_Non-trawl,0.6574788119416659,0.6574788119416659
2013,WA_Non-trawl,0.9280041472158311,0.9280041472158311
2014,WA_Trawl,0.6250886334737225,0.6250886334737225
2014,CA_Non-trawl,0.8610967760559873,0.8610967760559873
2014,CA_Trawl,0.3002705001789501,0.3002705001789501
2014,OR_Trawl,0.6198867353472886,0.6198867353472886
2014,OR_Non-trawl,0.9868337318781776,0.9868337318781776
2014,WA_Non-trawl,0.9937920670308891,0.9937920670308891
2015,WA_Trawl,0.9348637499149431,0.9348637499149431
2015,CA_Non-trawl,0.9234622063165505,0.9234622063165505
2015,CA_Trawl,0.3345657294036487,0.3345657294036487
2015,OR_Trawl,0.6554744192952853,0.6554744192952853
2015,OR_Non-trawl,0.9520674193548387,0.9520674193548387
2015,WA_Non-trawl,0.9983329082329864,0.9983329082329864
2016,WA_Trawl,0.9951610949385712,0.9951610949385712
2016,CA_Non-trawl,0.908021151402489,0.908021151402489
2016,CA_Trawl,0.32725884601914873,0.32725884601914873
2016,OR_Trawl,0.6769680307627274,0.6769680307627274
2016,OR_Non-trawl,0.9948125798094504,0.9948125798094504
2016,WA_Non-trawl,0.9813705624924948,0.9813705624924948
2017,WA_Trawl,0.9185325597260225,0.9185325597260225
2017,CA_Non-trawl,0.9035106066982255,0.9035106066982255
2017,CA_Trawl,0.17848143079494957,0.17848143079494957
2017,OR_Trawl,0.5717576674412759,0.5717576674412759
2017,OR_Non-trawl,0.9903926213902342,0.9903926213902342
2017,WA_Non-trawl,0.9956072355737816,0.9956072355737816
2018,WA_Trawl,0.8568777023488364,0.8568777023488364
2018,CA_Non-trawl,0.9047468099694007,0.9047468099694007
2018,CA_Trawl,0.38260566381474637,0.38260566381474637
2018,OR_Trawl,0.726464454327097,0.726464454327097
2018,OR_Non-trawl,0.9662839897032282,0.9662839897032282
2018,WA_Non-trawl,0.9896186344979795,0.9896186344979795
2019,WA_Trawl,0.8765123684099412,0.8765123684099412
2019,CA_Non-trawl,0.8955613377302339,0.8955613377302339
2019,CA_Trawl,0.449735569122543,0.449735569122543
2019,OR_Trawl,0.8102362785828603,0.8102362785828603
2019,OR_Non-trawl,0.9986859395532194,0.9986859395532194
2019,WA_Non-trawl,0.9655039938750113,0.9655039938750113
2020,WA_Trawl,0.9331708588815012,0.9331708588815012
2020,CA_Non-trawl,0.8797192920447381,0.8797192920447381
2020,CA_Trawl,0.5092012537616756,0.5092012537616756
2020,OR_Trawl,0.8960222346702226,0.8960222346702226
2020,OR_Non-trawl,0.9916941500752425,0.9916941500752425
2020,WA_Non-trawl,0.9984161636125953,0.9984161636125953
2021,WA_Trawl,0.5797582652160262,0.5797582652160262
2021,CA_Non-trawl,0.867009069383975,0.867009069383975
2021,CA_Trawl,0.6641092812893411,0.6641092812893411
2021,OR_Trawl,0.9053226727034723,0.9053226727034723
2021,OR_Non-trawl,0.993049124616684,0.993049124616684
2021,WA_Non-trawl,0.9630729868644692,0.9630729868644692
2022,WA_Trawl,0.8836993246804857,0.8836993246804857
2022,CA_Non-trawl,0.8624962909865036,0.8624962909865036
2022,CA_Trawl,0.6643710688105406,0.6643710688105406
2022,OR_Trawl,0.9393526152898084,0.9393526152898084
2022,OR_Non-trawl,0.9931459224100381,0.9931459224100381
2022,WA_Non-trawl,0.9788058985840326,0.9788058985840326
2023,WA_Trawl,0.894736842105263,0.894736842105263
2023,CA_Non-trawl,0.3459870212837497,0.3459870212837497
2023,CA_Trawl,0.16153846153846163,0.16153846153846163
2023,OR_Trawl,0.8635717363378944,0.8635717363378944
2023,OR_Non-trawl,1,1
2023,WA_Non-trawl,NA,0.9788058985840326
